지역,월,일시,시간,승차,하차,전체
경기도 고양시 덕양구 흥도동,1,평일,18시~19시,737 ,923 ,1660 
경기도 고양시 덕양구 흥도동,1,평일,19시~20시,766 ,1200 ,1966 
경기도 고양시 덕양구 흥도동,1,평일,20시~21시,552 ,798 ,1350 
경기도 고양시 덕양구 흥도동,1,평일,21시~22시,558 ,725 ,1283 
경기도 고양시 덕양구 흥도동,1,평일,22시~23시,433 ,653 ,1086 
경기도 고양시 덕양구 흥도동,1,평일,23시~24시,196 ,382 ,578 
경기도 고양시 덕양구 흥도동,1,평일,00시~01시,68 ,108 ,176 
경기도 고양시 덕양구 흥도동,1,평일,주간,8585 ,7910 ,16495 
경기도 고양시 덕양구 흥도동,1,평일,전일,11897 ,12225 ,24122 
경기도 고양시 덕양구 흥도동,1,주말,01시~02시,-,4 ,4 
경기도 고양시 덕양구 흥도동,1,주말,05시~06시,97 ,65 ,162 
경기도 고양시 덕양구 흥도동,1,주말,06시~07시,234 ,189 ,423 
경기도 고양시 덕양구 흥도동,1,주말,07시~08시,293 ,251 ,544 
경기도 고양시 덕양구 흥도동,1,주말,08시~09시,502 ,409 ,911 
경기도 고양시 덕양구 흥도동,1,주말,09시~10시,553 ,418 ,971 
경기도 고양시 덕양구 흥도동,1,주말,10시~11시,498 ,407 ,905 
경기도 고양시 덕양구 흥도동,1,주말,11시~12시,545 ,426 ,971 
경기도 고양시 덕양구 흥도동,1,주말,12시~13시,652 ,500 ,1152 
경기도 고양시 덕양구 흥도동,1,주말,13시~14시,584 ,546 ,1130 
경기도 고양시 덕양구 흥도동,1,주말,14시~15시,500 ,520 ,1020 
경기도 고양시 덕양구 흥도동,1,주말,15시~16시,523 ,533 ,1056 
경기도 고양시 덕양구 흥도동,1,주말,16시~17시,608 ,644 ,1252 
경기도 고양시 덕양구 흥도동,1,주말,17시~18시,638 ,664 ,1302 
경기도 고양시 덕양구 흥도동,1,주말,18시~19시,548 ,636 ,1184 
경기도 고양시 덕양구 흥도동,1,주말,19시~20시,461 ,591 ,1052 
경기도 고양시 덕양구 흥도동,1,주말,20시~21시,348 ,429 ,777 
경기도 고양시 덕양구 흥도동,1,주말,21시~22시,373 ,445 ,818 
경기도 고양시 덕양구 흥도동,1,주말,22시~23시,390 ,528 ,918 
경기도 고양시 덕양구 흥도동,1,주말,23시~24시,180 ,317 ,497 
경기도 고양시 덕양구 흥도동,1,주말,00시~01시,26 ,123 ,149 
경기도 고양시 덕양구 흥도동,1,주말,주간,6444 ,5954 ,12398 
경기도 고양시 덕양구 흥도동,1,주말,전일,8553 ,8645 ,17198 
경기도 고양시 덕양구 성사1동,1,평일,05시~06시,39 ,55 ,94 
경기도 고양시 덕양구 성사1동,1,평일,06시~07시,283 ,247 ,530 
경기도 고양시 덕양구 성사1동,1,평일,07시~08시,584 ,611 ,1195 
경기도 고양시 덕양구 성사1동,1,평일,08시~09시,626 ,838 ,1464 
경기도 고양시 덕양구 성사1동,1,평일,09시~10시,506 ,568 ,1074 
경기도 고양시 덕양구 성사1동,1,평일,10시~11시,377 ,465 ,842 
경기도 고양시 덕양구 성사1동,1,평일,11시~12시,474 ,445 ,919 
경기도 고양시 덕양구 성사1동,1,평일,12시~13시,466 ,480 ,946 
경기도 고양시 덕양구 성사1동,1,평일,13시~14시,534 ,500 ,1034 
경기도 고양시 덕양구 성사1동,1,평일,14시~15시,514 ,531 ,1045 
경기도 고양시 덕양구 성사1동,1,평일,15시~16시,620 ,629 ,1249 
경기도 고양시 덕양구 성사1동,1,평일,16시~17시,599 ,577 ,1176 
경기도 고양시 덕양구 성사1동,1,평일,17시~18시,616 ,590 ,1206 
경기도 고양시 덕양구 성사1동,1,평일,18시~19시,799 ,766 ,1565 
경기도 고양시 덕양구 성사1동,1,평일,19시~20시,588 ,718 ,1306 
경기도 고양시 덕양구 성사1동,1,평일,20시~21시,484 ,446 ,930 
경기도 고양시 덕양구 성사1동,1,평일,21시~22시,382 ,416 ,798 
경기도 고양시 덕양구 성사1동,1,평일,22시~23시,306 ,306 ,612 
경기도 고양시 덕양구 성사1동,1,평일,23시~24시,170 ,186 ,356 
경기도 고양시 덕양구 성사1동,1,평일,00시~01시,23 ,33 ,56 
경기도 고양시 덕양구 성사1동,1,평일,주간,6715 ,7000 ,13715 
경기도 고양시 덕양구 성사1동,1,평일,전일,8990 ,9407 ,18397 
경기도 고양시 덕양구 성사1동,1,주말,05시~06시,27 ,43 ,70 
경기도 고양시 덕양구 성사1동,1,주말,06시~07시,133 ,110 ,243 
경기도 고양시 덕양구 성사1동,1,주말,07시~08시,200 ,184 ,384 
경기도 고양시 덕양구 성사1동,1,주말,08시~09시,301 ,360 ,661 
경기도 고양시 덕양구 성사1동,1,주말,09시~10시,353 ,448 ,801 
경기도 고양시 덕양구 성사1동,1,주말,10시~11시,349 ,433 ,782 
경기도 고양시 덕양구 성사1동,1,주말,11시~12시,437 ,489 ,926 
경기도 고양시 덕양구 성사1동,1,주말,12시~13시,471 ,493 ,964 
경기도 고양시 덕양구 성사1동,1,주말,13시~14시,543 ,486 ,1029 
경기도 고양시 덕양구 성사1동,1,주말,14시~15시,480 ,454 ,934 
경기도 고양시 덕양구 성사1동,1,주말,15시~16시,536 ,446 ,982 
경기도 고양시 덕양구 성사1동,1,주말,16시~17시,487 ,504 ,991 
경기도 고양시 덕양구 성사1동,1,주말,17시~18시,537 ,545 ,1082 
경기도 고양시 덕양구 성사1동,1,주말,18시~19시,471 ,539 ,1010 
경기도 고양시 덕양구 성사1동,1,주말,19시~20시,454 ,467 ,921 
경기도 고양시 덕양구 성사1동,1,주말,20시~21시,376 ,336 ,712 
경기도 고양시 덕양구 성사1동,1,주말,21시~22시,330 ,354 ,684 
경기도 고양시 덕양구 성사1동,1,주말,22시~23시,231 ,274 ,505 
경기도 고양시 덕양구 성사1동,1,주말,23시~24시,145 ,158 ,303 
경기도 고양시 덕양구 성사1동,1,주말,00시~01시,33 ,55 ,88 
경기도 고양시 덕양구 성사1동,1,주말,주간,5165 ,5381 ,10546 
경기도 고양시 덕양구 성사1동,1,주말,전일,6894 ,7178 ,14072 
경기도 고양시 덕양구 성사2동,1,평일,04시~05시,-,7 ,7 
경기도 고양시 덕양구 성사2동,1,평일,05시~06시,11 ,17 ,28 
경기도 고양시 덕양구 성사2동,1,평일,06시~07시,67 ,44 ,111 
경기도 고양시 덕양구 성사2동,1,평일,07시~08시,228 ,123 ,351 
경기도 고양시 덕양구 성사2동,1,평일,08시~09시,214 ,144 ,358 
경기도 고양시 덕양구 성사2동,1,평일,09시~10시,84 ,72 ,156 
경기도 고양시 덕양구 성사2동,1,평일,10시~11시,81 ,75 ,156 
경기도 고양시 덕양구 성사2동,1,평일,11시~12시,72 ,56 ,128 
경기도 고양시 덕양구 성사2동,1,평일,12시~13시,68 ,87 ,155 
경기도 고양시 덕양구 성사2동,1,평일,13시~14시,60 ,65 ,125 
경기도 고양시 덕양구 성사2동,1,평일,14시~15시,84 ,108 ,192 
경기도 고양시 덕양구 성사2동,1,평일,15시~16시,71 ,110 ,181 
경기도 고양시 덕양구 성사2동,1,평일,16시~17시,59 ,129 ,188 
경기도 고양시 덕양구 성사2동,1,평일,17시~18시,61 ,106 ,167 
경기도 고양시 덕양구 성사2동,1,평일,18시~19시,123 ,202 ,325 
경기도 고양시 덕양구 성사2동,1,평일,19시~20시,68 ,164 ,232 
경기도 고양시 덕양구 성사2동,1,평일,20시~21시,33 ,113 ,146 
경기도 고양시 덕양구 성사2동,1,평일,21시~22시,46 ,110 ,156 
경기도 고양시 덕양구 성사2동,1,평일,22시~23시,33 ,109 ,142 
경기도 고양시 덕양구 성사2동,1,평일,23시~24시,19 ,78 ,97 
경기도 고양시 덕양구 성사2동,1,평일,00시~01시,17 ,28 ,45 
경기도 고양시 덕양구 성사2동,1,평일,주간,1205 ,1277 ,2482 
경기도 고양시 덕양구 성사2동,1,평일,전일,1499 ,1947 ,3446 
경기도 고양시 덕양구 성사2동,1,주말,04시~05시,-,1 ,1 
경기도 고양시 덕양구 성사2동,1,주말,05시~06시,14 ,18 ,32 
경기도 고양시 덕양구 성사2동,1,주말,06시~07시,24 ,21 ,45 
경기도 고양시 덕양구 성사2동,1,주말,07시~08시,53 ,39 ,92 
경기도 고양시 덕양구 성사2동,1,주말,08시~09시,66 ,59 ,125 
경기도 고양시 덕양구 성사2동,1,주말,09시~10시,76 ,48 ,124 
경기도 고양시 덕양구 성사2동,1,주말,10시~11시,66 ,58 ,124 
경기도 고양시 덕양구 성사2동,1,주말,11시~12시,72 ,58 ,130 
경기도 고양시 덕양구 성사2동,1,주말,12시~13시,64 ,69 ,133 
경기도 고양시 덕양구 성사2동,1,주말,13시~14시,55 ,92 ,147 
경기도 고양시 덕양구 성사2동,1,주말,14시~15시,56 ,90 ,146 
경기도 고양시 덕양구 성사2동,1,주말,15시~16시,64 ,87 ,151 
경기도 고양시 덕양구 성사2동,1,주말,16시~17시,71 ,92 ,163 
경기도 고양시 덕양구 성사2동,1,주말,17시~18시,60 ,96 ,156 
경기도 고양시 덕양구 성사2동,1,주말,18시~19시,52 ,112 ,164 
경기도 고양시 덕양구 성사2동,1,주말,19시~20시,43 ,95 ,138 
경기도 고양시 덕양구 성사2동,1,주말,20시~21시,21 ,72 ,93 
