업종명,업소명,업소소재지(도로명),업소소재지(지번),소재지전화
이용업,제일이용원,경기도 고양시 덕양구 행당로 12-2 (토당동),경기도 고양시 덕양구 토당동 882번지 5호   , 031- 974-8495
이용업,신향이용원,"경기도 고양시 덕양구 서정마을2로7번길 35, 1층 (행신동)",경기도 고양시 덕양구 행신동 1057번지 3호  1층 , 031- 974-6171
이용업,가람이용원,"경기도 고양시 덕양구 중앙로468번길 18 (행신동,,172-5)","경기도 고양시 덕양구 행신동 175번지  ,172-5 ", 031- 974-0791
이용업,세종이용원,경기도 고양시 덕양구 지도로 45 (토당동),경기도 고양시 덕양구 토당동 391번지 10호   , 031- 973-4448
이용업,제일탕이용원,"경기도 고양시 덕양구 행신로 151 (행신동,양일빌딩 지하)",경기도 고양시 덕양구 행신동 616번지 1호  양일빌딩 지하 , 031- 973-2199
이용업,부영이용원,"경기도 고양시 덕양구 백양로 27 (화정동,옥빛마을 14단지상가 지층102호)",경기도 고양시 덕양구 화정동 1004번지  옥빛마을 14단지상가 지층102호 , 031- 973-1696
이용업,복지이용원,경기도 고양시 덕양구 지도로49번길 7-20 (토당동),경기도 고양시 덕양구 토당동 376번지 3호   , 031- 972-3729
이용업,신성이용원,경기도 고양시 덕양구 토당로78번길 7-23 (토당동),경기도 고양시 덕양구 토당동 335번지 63호   , 031- 972-1738
이용업,부부이용원,"경기도 고양시 덕양구 화신로 284, 상가동 지층 102호103호 (화정동, 별빛마을8단지)",경기도 고양시 덕양구 화정동 952번지   , 031- 972-1093
이용업,아담이용원,"경기도 고양시 덕양구 중앙로 645 (토당동,그린빌딩 B-1)",경기도 고양시 덕양구 토당동 899번지 2호  그린빌딩 B-1 , 031- 972-0280
이용업,부영이용원,"경기도 고양시 덕양구 화신로 45, 1단지상가동 지하층 116호 (행신동, 무원마을)",경기도 고양시 덕양구 행신동 773번지   , 031- 971-7160
이용업,예일이용원,경기도 고양시 덕양구 충경로 31-1 (행신동),경기도 고양시 덕양구 행신동 719번지 14호   , 031- 971-6591
이용업,소만이용원,"경기도 고양시 덕양구 소만로 47, 상가동 B01호 (행신동, 소만마을)",경기도 고양시 덕양구 행신동 781번지   , 031- 971-3731
이용업,셀프이발관,"경기도 고양시 덕양구 충장로 84 (행신동,샘터마을 2단지A상가 103호)",경기도 고양시 덕양구 행신동 989번지  샘터마을 2단지A상가 103호 , 031- 971-2975
이용업,공원이발관,경기도 고양시 덕양구 지도로115번길 19-3 (토당동),경기도 고양시 덕양구 토당동 96번지 1호   , 031- 971-0892
이용업,중앙이용원,경기도 고양시 덕양구 토당로 66-27 (토당동),경기도 고양시 덕양구 토당동 333번지   , 031- 970-5959
이용업,그린이용원,"경기도 고양시 덕양구 행당로 35 (행신동,재원빌딩 1층)",경기도 고양시 덕양구 행신동 650번지 52호  재원빌딩 1층 , 031- 970-4877
이용업,행신소망이용원,"경기도 고양시 덕양구 화신로 74, 상가동 104호 (행신동, 샘터마을)",경기도 고양시 덕양구 행신동 973번지   , 031- 970-4172
이용업,대성이용원,경기도 고양시 덕양구 토당로 166 (토당동),경기도 고양시 덕양구 토당동 831번지 1호   , 031- 970-3740
이용업,한마음 이용원,경기도 고양시 덕양구 토당로 125 (토당동),경기도 고양시 덕양구 토당동 254번지 2호   , 031- 970-1425
이용업,대길이용원,경기도 고양시 덕양구 능곡로 1 (토당동),경기도 고양시 덕양구 토당동 338번지 2호   , 031- 970-0522
이용업,협신이용원,<REPLACE>,경기도 고양시 덕양구 관산동 178번지   , 031- 969-9702
이용업,커트클럽,"경기도 고양시 덕양구 통일로 778, 1(일부)층 (관산동)",경기도 고양시 덕양구 관산동 231번지 14호  1층 일부 , 031- 969-5253
이용업,달빛이용원,<REPLACE>,경기도 고양시 덕양구 화정동 865번지   , 031- 969-3239
이용업,청명이용원,"경기도 고양시 덕양구 호국로 778-8 (성사동,지하)",경기도 고양시 덕양구 성사동 699번지 2호  지하 , 031- 969-1237
이용업,신부영이용원,"경기도 고양시 덕양구 백양로 108, 11단지상가동 108호 (화정동, 은빛마을)",경기도 고양시 덕양구 화정동 961번지   , 031- 969-0367
이용업,원이용원,경기도 고양시 덕양구 화중로152번길 14 (화정동),경기도 고양시 덕양구 화정동 887번지 2호   , 031- 968-2325
이용업,대성이용원,경기도 고양시 덕양구 원당로113번길 9 (주교동),경기도 고양시 덕양구 주교동 569번지   , 031- 968-0345
이용업,덕온사우나이용원,경기도 고양시 덕양구 원당로 316 (원당동),경기도 고양시 덕양구 원당동 434번지 5호   , 031- 967-4377
이용업,로얄이용원,"경기도 고양시 덕양구 원당로 61 (주교동,로얄파크텔지하1층)",경기도 고양시 덕양구 주교동 585번지 17호  로얄파크텔지하1층 , 031- 967-0177
이용업,금가위이용원,경기도 고양시 덕양구 마상로114번길 41 (주교동),경기도 고양시 덕양구 주교동 585번지   , 031- 966-8878
이용업,대성이용원,경기도 고양시 덕양구 마상로154번길 47-1 (성사동),경기도 고양시 덕양구 성사동 697번지 1호   , 031- 966-8171
이용업,이지헤어,"경기도 고양시 일산동구 고양대로 1031, 202호 (식사동)",경기도 고양시 일산동구 식사동 619번지 7호   202호, 031- 965-9068
이용업,대명이용원,"경기도 고양시 덕양구 호국로742번길 66, 대명상가동 2층 38호 (성사동, 신원당마을)",경기도 고양시 덕양구 성사동 730번지   상가동동 2층38호호, 031- 965-6472
이용업,화정탕내 이용원,"경기도 고양시 덕양구 화중로130번길 14 (화정동,외 2필지 아성프라자 지하 01호)",경기도 고양시 덕양구 화정동 902번지 2호  외 2필지 아성프라자 지하 01호 , 031- 965-4578
이용업,한솔이용원,경기도 고양시 덕양구 원당로59번길 53 (주교동),경기도 고양시 덕양구 주교동 596번지 10호   , 031- 965-2855
이용업,일심이용원,경기도 고양시 덕양구 호국로790번길 36 (성사동),경기도 고양시 덕양구 성사동 702번지 4호   , 031- 965-1688
이용업,성사,"경기도 고양시 덕양구 고양대로1384번길 9 (성사동, (2층))",경기도 고양시 덕양구 성사동 722번지 3호  (2층) , 031- 965-0152
이용업,더자연모 토탈 헤어샵,"경기도 고양시 덕양구 화중로152번길 30 (화정동, 1층 일부)",경기도 고양시 덕양구 화정동 886번지 5호  1층 일부 , 031- 964-9593
이용업,태양이용원,"경기도 고양시 덕양구 혜음로 38-1 (고양동,진성1층)",경기도 고양시 덕양구 고양동 140번지  진성1층 , 031- 964-9291
이용업,서부이용원,경기도 고양시 덕양구 통일로 776-11 (관산동),경기도 고양시 덕양구 관산동 229번지 3호   , 031- 964-8442
이용업,영준이용원,경기도 고양시 덕양구 고양대로1369번길 22 (성사동),경기도 고양시 덕양구 성사동 702번지 14호   , 031- 964-4021
이용업,현대이용원,경기도 고양시 덕양구 통일로1267번길 8-4 (내유동),경기도 고양시 덕양구 내유동 307번지 7호   , 031- 964-3724
이용업,성지이용원,"경기도 고양시 덕양구 동헌로 461 (고양동,성지빌딩 지하2호)",경기도 고양시 덕양구 고양동 176번지 8호  성지빌딩 지하2호 , 031- 964-3522
이용업,태후사랑,"경기도 고양시 덕양구 통일로 757 (관산동, 1층일부 )",경기도 고양시 덕양구 관산동 188번지 9호  외 2필지 , 031- 964-0016
이용업,봄춘이용원,경기도 고양시 덕양구 원당로33번길 42-5 (주교동),경기도 고양시 덕양구 주교동 604번지 21호   , 031- 963-6437
이용업,태양이용원,경기도 고양시 덕양구 호국로 809 (주교동),경기도 고양시 덕양구 주교동 620번지 2호   , 031- 963-4940
이용업,평화이용원,"경기도 고양시 덕양구 마상로134번길 27 (주교동,그린빌하우스 A동 상가2호)",경기도 고양시 덕양구 주교동 619번지 5호  그린빌하우스 A동 상가2호 , 031- 963-4683
이용업,평화이용원,"경기도 고양시 덕양구 화중로 217 (화정동, 달빛마을 상가2동 지층3호)",경기도 고양시 덕양구 화정동 858번지  달빛마을 상가2동 지층3호 , 031- 963-0745
이용업,평화이발관,"경기도 고양시 덕양구 통일로 753 (관산동,도광빌딩 1층1호)",경기도 고양시 덕양구 관산동 185번지  도광빌딩 1층1호 , 031- 963-0745
이용업,리스이용원,경기도 고양시 덕양구 고양대로1369번길 28 (성사동),경기도 고양시 덕양구 성사동 702번지 10호   , 031- 962-8448
이용업,마을이용원,경기도 고양시 덕양구 혜음로 170-1 (고양동),경기도 고양시 덕양구 고양동 858번지   , 031- 962-7540
이용업,삼성이용원,"경기도 고양시 덕양구 통일로 784, 1(일부)층 (관산동)",경기도 고양시 덕양구 관산동 231번지 16호  1층(일부) , 031- 962-7116
이용업,미나미이용원,경기도 고양시 덕양구 마상로134번길 99 (주교동),경기도 고양시 덕양구 주교동 610번지 8호   , 031- 962-5535
이용업,고양이용원,"경기도 고양시 덕양구 벽제관로 38-32 (고양동,3층)",경기도 고양시 덕양구 고양동 68번지 2호  3층 , 031- 962-3138
이용업,동우사우나내이용원,"경기도 고양시 덕양구 통일로 785 (관산동,,235-10)","경기도 고양시 덕양구 관산동 236번지 1호  ,235-10 ", 031- 962-2166
이용업,궁전이용원,경기도 고양시 덕양구 백양로 138-1 (화정동),경기도 고양시 덕양구 화정동 877번지 19호   , 031- 962-1859
이용업,협동이용원,"경기도 고양시 덕양구 혜음로 32, 1층 109,110호 (고양동, 삼성아파트 상가동)","경기도 고양시 덕양구 고양동 197번지  삼성아파트 상가 109,110호(197외 7필지) ", 031- 962-1081
이용업,청구,"경기도 고양시 일산서구 강선로 168, 지층3호 (일산동, 후곡마을14단지 상가동)",경기도 고양시 일산서구 일산동 1101번지  후곡마을14단지 상가동 지층3호, 031- 941-3753
이용업,장성 이용원,"경기도 고양시 일산서구 강선로 189, 106호 (일산동, 후곡마을10단지 상가동)",경기도 고양시 일산서구 일산동 1074번지  후곡마을10단지 상가동 106호, 031- 924-0613
이용업,태후사랑,"경기도 고양시 일산서구 경의로 665, 301호 (일산동, 한뫼프라자)",경기도 고양시 일산서구 일산동 1072번지  한뫼프라자 301호, 031- 922-2595
이용업,후곡,"경기도 고양시 일산서구 일산로 614, 지층109호 (일산동, 후곡마을6단지 상가동)",경기도 고양시 일산서구 일산동 1050번지  후곡마을6단지 상가동 지층109호, 031- 922-1346
이용업,서현,"경기도 고양시 일산서구 중앙로 1456 (주엽동, 서현프라자 218호)",경기도 고양시 일산서구 주엽동 18번지 2호  서현프라자 218호 , 031- 921-7170
이용업,신금성이용원,경기도 고양시 일산서구 산현로 118 (일산동),경기도 고양시 일산서구 일산동 1711번지   , 031- 921-5888
이용업,천지,"경기도 고양시 일산서구 일중로 104 (일산동, 1층)",경기도 고양시 일산서구 일산동 1868번지  1층 , 031- 921-3784
이용업,힐링스칼프,"경기도 고양시 일산서구 중앙로 1470, 3205호 일부호 (주엽동, 문촌마을복합상가)",경기도 고양시 일산서구 주엽동 17번지  문촌마을복합상가 3205 일부호, 031- 921-3123
이용업,탑스칼프 일산점,"경기도 고양시 일산서구 중앙로 1437, 화성프라자 5층 511-2호 (주엽동)",경기도 고양시 일산서구 주엽동 109번지  화성프라자 511-2호, 031- 921-0045
이용업,레시티,"경기도 고양시 일산서구 중앙로 1471 (주엽동, 문촌마을13단지복합상가동 109호)",경기도 고양시 일산서구 주엽동 136번지  문촌마을13단지복합상가동 109호 , 031- 919-3777
이용업,부영,"경기도 고양시 일산서구 주엽로 121, 109호 (주엽동, 문촌마을15단지 상가동)",경기도 고양시 일산서구 주엽동 135번지  문촌마을15단지 상가동 109호, 031- 919-3155
이용업,부림,"경기도 고양시 일산서구 산현로 38, 110호 (일산동, 동문1차아파트 상가동)",경기도 고양시 일산서구 일산동 1694번지  동문1차아파트 상가동 110호, 031- 919-2827
이용업,남성컷트의집,"경기도 고양시 일산동구 일산로463번길 58 (정발산동,(1층))",경기도 고양시 일산동구 정발산동 1166번지 5호  (1층) , 031- 919-2117
이용업,동부이용원,"경기도 고양시 일산서구 중앙로 1470, 2103호 (주엽동, 문촌마을복합상가)",경기도 고양시 일산서구 주엽동 17번지  문촌마을복합상가 2103호, 031- 918-6074
이용업,대중,"경기도 고양시 일산서구 강성로 268 (대화동, 성저마을3단지상가동 지하06호)",경기도 고양시 일산서구 대화동 2215번지  성저마을3단지상가동 지하06호 , 031- 918-2804
