연번,사업장명,소재지,종별
167,BM모터스,고양시 일산동구 고봉로 833-1(설문동),5
168,㈜가나자동차해체재활용산업,고양시 덕양구 보광로 267(벽제동),4
169,신용잉크조색,고양시 일산동구 견달산로225번길 66(식사동),5
170,대한분체,"고양시 일산동구 장진천길82번길 54, 다동(설문동)",4
171,㈜대한송유관공사 경인지사,고양시 덕양구 중앙로 323(강매동),5
172,문봉현대자동차,고양시 일산동구 견달산로 347(문봉동),5
173,남도산업,고양시 일산동구 장대길 96(장항동),5
174,7분체,고양시 일산동구 장진천길 148(설문동),4
175,금강유리제경,고양시 일산동구 장대길105번길 166(장항동),5
176,1급행신자동차정비검사소,고양시 덕양구 용현로5번길 30(행신동),5
177,천우모터스㈜,고양시 일산동구 백마로 512(풍동),4
178,명성인테리어,고양시 일산동구 장진천길 82번길 118(설문동),4
179,모터파크,고양시 일산서구 산남로 211-6(가좌동),5
180,㈜한울코리아,"고양시 일산동구 고봉로658번길 170, 나동(성석동)",5
181,태흥모터스,고양시 일산동구 장진천길 14-48(설문동),5
182,은하시스템,"고양시 일산동구 사리현로 24-6, 나,다동(식사동)",5
183,프리미어오토모빌㈜,"고양시 일산동구 백마로 522, 1층(풍동)",5
184,다슬디자인,고양시 일산동구 공릉천로 209-96(사리현동),5
185,인터스,"고양시 일산동구 은마길63번길 57, 마동(설문동)",5
186,㈜구들,"고양시 일산동구 은마길63번길 57, 바동(설문동)",5
187,케이씨씨오토모빌㈜,고양시 일산동구 백마로 516(풍동),5
188,㈜태안모터스,고양시 일산서구 송파로 131(가좌동),5
189,㈜다롬,고양시 일산동구 은마길 45(성석동),5
190,현대일산중부서비스㈜,고양시 일산동구 고봉로 709(설문동),5
191,㈜동광시스템,고양시 일산동구 동국로 335-19(문봉동),5
192,㈜크린에코텍,고양시 일산동구 문원길 30-12(지영동),5
193,㈜푸른솔환경,고양시 일산동구 장항로203-22(장항동),5
194,신흥AUTOX,고양시 일산동구 공릉천로473번길 78-20(설문동),5
195,㈜우정모터스,"고양시 일산서구 덕산로99번길 17, 다,라동(가좌동)",5
196,비앤비모터스,고양시 일산동구 진밭로 47(성석동),5
197,동화분체,고양시 일산동구 장진천길82번길 62(설문동),5
198,대경산업㈜,고양시 일산동구 은마길 71(설문동),4
199,㈜카인카모터스,고양시 일산서구 송산로 531(덕이동),5
200,송정수지,고양시 일산동구 은마길63번길 25-9(설문동),5
201,신세기그린,고양시 일산동구 성현로268번길 95-15(성석동),5
202,칠박사분체,고양시 일산동구 장진천길 150(설문동),4
203,㈜로스오토웍스,고양시 일산동구 견달산로225번길 51(식사동),5
204,코레인모터스,고양시 일산동구 성현로 29번길 1,5
205,㈜금강이엔텍,고양시 일산동구 성현로 150(성석동),4
206,㈜한국루베,고양시 일산동구 은마길79번길 81-1(설문동),5
207,㈜동부현대자동차서비스,고양시 일산동구 동국로 215(성석동),5
208,향기나는 목요일,"고양시 일산동구 은마길63번길 57-20, 사동(설문동)",5
209,주식회사 한일자원,고양시 일산동구 성현로 426-41(문봉동),5
210,㈜일산자동차검사정비사업소,고양시 일산서구 하이파크3로 9(덕이동),5
211,우리 리싸이클링,고양시 일산동구 공릉천로355번길 16-1(지영동),5
212,우진레미콘주식회사,고양시 덕양구 흥도로 79(도내동),5
213,덕영산업 주식회사,"고양시 일산동구 견달산로225번길 52, 나동(식사동)",5
214,인선모터스㈜일산,고양시 일산동구 동국로 286(식사동),5
215,국제엔지니어링,고양시 일산동구 견달산로161번길 71(식사동),5
216,조우모터스,고양시 일산동구 견달산로225번길 26-74(식사동),5
217,㈜세정,고양시 덕양구 동헌로235번길 136(대자동),5
218,㈜우림화학,고양시 덕양구 통일로 1269-34(내유동),5
