업종명,업소명,소재지(도로명),소재지(지번),소재지전화
단란주점,우리노래뱅크,"경기도 고양시 덕양구 화신로272번길 48, 5층 501호 (화정동, 유퍼스트빌딩)",경기도 고양시 덕양구 화정동 981번지 1호 유퍼스트빌딩 5층 501호 ,
단란주점,발리,"경기도 고양시 일산동구 정발산로 27 (장항동,진원프라자 4층일부)",경기도 고양시 일산동구 장항동 859번지 1호 진원프라자 4층일부 ,
단란주점,미스티,"경기도 고양시 일산동구 정발산로 43-7 (장항동,메리트윈 307호)",경기도 고양시 일산동구 장항동 856번지 메리트윈 307호 ,
단란주점,S노래광장,"경기도 고양시 일산동구 중앙로1261번길 57 (장항동,레이크프라자-1 504호)",경기도 고양시 일산동구 장항동 861번지 1호 레이크프라자-1 504호 ,
단란주점,쏭라이브,"경기도 고양시 일산동구 무궁화로 18, 204호 (장항동, 남정씨티프라자1차)",경기도 고양시 일산동구 장항동 760번지 남정씨티프라자1차 204호,
단란주점,두바이노래클럽,"경기도 고양시 일산동구 고봉로 32-30, 금산빌딩 2층 일부호 (장항동)",경기도 고양시 일산동구 장항동 736번지 5호  ,
단란주점,캐슬노래클럽,"경기도 고양시 일산동구 고봉로 26-14, 양우로데오랜드 A동 208-1호 (장항동)",경기도 고양시 일산동구 장항동 740번지 1호 양우로데오랜드 ,
단란주점,크리스탈(단란주점),"경기도 고양시 일산동구 중앙로1275번길 60-21, 크리스탈빌딩 2층 206호 (장항동)",경기도 고양시 일산동구 장항동 756번지 3호 크리스탈빌딩 ,
단란주점,샤인노래뱅크,"경기도 고양시 일산서구 원일로 91-1, 지하1층 (일산동)",경기도 고양시 일산서구 일산동 592번지 23호  ,
단란주점,퍼펙트 노래뮤직,"경기도 고양시 일산동구 고봉로 32-26, 301호 (장항동, 삼호빌딩)",경기도 고양시 일산동구 장항동 736번지 4호 삼호빌딩 301호,
단란주점,쏘락 노래타운 2,"경기도 고양시 일산동구 무궁화로 25-3 (장항동, 이레21, 11빌딩 305호)","경기도 고양시 일산동구 장항동 741번지 3호 이레21, 11빌딩 305호 ",
단란주점,갤럭시 노래짱,"경기도 고양시 일산동구 정발산로 39, 304,305호 (장항동, 대양빌딩 )","경기도 고양시 일산동구 장항동 856번지 1호 대양빌딩 304호, 305호 ",
단란주점,딸기 단란주점,"경기도 고양시 일산동구 무궁화로 20-18, 310호 (장항동, 하임빌로데오빌딩)",경기도 고양시 일산동구 장항동 759번지 하임빌로데오빌딩 310호,
단란주점,스윙 단란주점,"경기도 고양시 일산동구 무궁화로 34 (장항동, 남정씨티프라자11, 201-1호)","경기도 고양시 일산동구 장항동 778번지 2호 남정씨티프라자11, 201-1호 ",
단란주점,위플 뮤직타워,"경기도 고양시 일산동구 무궁화로 25-3 (장항동, 이레21, 11빌딩 403호)","경기도 고양시 일산동구 장항동 741번지 3호 이레21, 11빌딩 403호 ",
단란주점,산울림,"경기도 고양시 일산동구 무궁화로 31-1 (장항동, 텐폴드프라자 401호)",경기도 고양시 일산동구 장항동 735번지 3호 텐폴드프라자 401호 ,
단란주점,플러스 단란주점,"경기도 고양시 일산동구 무궁화로 19-14 (장항동, 로데오존 311호)",경기도 고양시 일산동구 장항동 741번지 외 2필지 로데오존 311호 ,
