등록일자,업종,상호,소재지(도로명),
2015-04-15,국외여행업,와이제이투어(YJ TOUR),"경기도 고양시 덕양구 신원로 35, 103호 (신원동, 현대힐스테이트상가)",
2009-10-16,국외여행업,(주)제임스투어,"경기도 고양시 덕양구 중앙로 548, 현대프라자 301호 (행신동)",
2015-05-15,국외여행업,오픈월드,"경기도 고양시 덕양구 삼송로 94-12, 하나타워 101호 (삼송동)",
2015-06-16,국외여행업,(주)나눔투어,"경기도 고양시 덕양구 백양로 79 (화정동, 이마트)",
2011-10-31,국외여행업,주식회사 제이디 인터내셔널코리아,"경기도 고양시 일산서구 중앙로 1443, 302호 (주엽동, 가람상가)",
2015-07-22,국외여행업,주식회사 다솔투어,경기도 고양시 덕양구 삼송로136번길 87-0 (삼송동),
2015-08-11,국외여행업,크리에듀,"경기도 고양시 일산동구 백마로 223, 301호 (장항동, 현대 에뜨레보)",
2015-08-17,국외여행업,이지레일,"경기도 고양시 일산서구 일현로 97-11, 103동 3503호 (탄현동, 일산 위브더제니스)",
2015-11-14,국외여행업,여행아이,"경기도 고양시 덕양구 충장로475번길 14-5, 1층 29호 (성사동, 효동상가)",
2015-12-08,국외여행업,주식회사 홀리스트,"경기도 고양시 덕양구 통일로 140, A동 236호 (동산동, 삼송테크노밸리)",
2015-12-28,국외여행업,케이제이투어,"경기도 고양시 일산동구 장항로 382-21, 2층 (장항동)",
2016-01-15,국외여행업,위더스 골프투어,"경기도 고양시 덕양구 충경로 48, 401호 (행신동, 진일프라자2차)",
2016-01-22,국외여행업,주식회사 수여행사,"경기도 고양시 일산동구 중앙로 1283, 10층 (장항동, 롯데백화점일산점)",
2016-03-08,국외여행업,플러스투어(PLUS TOUR),"경기도 고양시 일산서구 호수로 817 (대화동, 홈플러스 킨텍스점 B1)",
2011-06-16,국외여행업,우주여행사,"경기도 고양시 덕양구 호국로790번길 93, 1층 (성사동)",
2016-03-21,국외여행업,(주)에어비즈투어,"경기도 고양시 덕양구 무원로6번길 12, 515호 (행신동)",
2012-09-26,국외여행업,주식회사 다보여행사,"경기도 고양시 일산동구 호수로 336, 브라운스톤 101동 1511호 (백석동)",
2009-06-26,국외여행업,제일여행사,"경기도 고양시 일산동구 중앙로 1182, 올림픽스포츠센터 105호 (마두동)",
2010-10-03,국외여행업,모두플러스투어,"경기도 고양시 덕양구 화정로 52, 5층 5033호 (화정동, 세이브존)",
2012-09-24,국외여행업,원월드몰,경기도 고양시 덕양구 통일로 1214 (내유동),
2007-04-03,국외여행업,주식회사 플러스투어,"경기도 고양시 덕양구 중앙로557번길 8-9, 301-2호 (행신동, M&G프라자)",
2012-11-06,국외여행업,(주)어컴퍼니투어,"경기도 고양시 덕양구 무원로6번길 12-10523, 7층 715호 (행신동, 대흥빌딩)",
2013-02-26,국외여행업,눈꽃위의 오로라,"경기도 고양시 일산서구 중앙로 1456, 6층 603-1호 (주엽동, 서현프라자)",
2016-10-14,국외여행업,(주)호산,"경기도 고양시 덕양구 세솔로 70, B1호 (삼송동)",
