시설번호,놀이시설명,우편번호,주 소,설치일자,설치장소,운영구분,지역분류,민공구분
517436,후곡마을16단지 1605동 옆,10375,"경기도 고양시 일산서구 강선로 141 (일산동, 후곡마을16단지아파트)",1995-10-25,주택단지,운영,경기 고양시 일산서구 일산동,민간
517438,후곡6단지 동부건영아파트 604동옆 놀이터,10372,"경기도 고양시 일산서구 일산로 612 (일산동, 후곡마을6단지아파트)",1994-01-01,주택단지,운영,경기 고양시 일산서구 일산동,민간
517443,강선마을8단지LG롯데아파트 808동 놀이터,10361,"경기도 고양시 일산서구 강선로 70 (주엽동, 강선마을8단지아파트)",1993-11-26,주택단지,운영,경기 고양시 일산서구 주엽동,민간
517446,산들마을5단지 508동 옆,10354,"경기도 고양시 일산서구 일중로 30 (일산동, 산들마을5단지)",2004-10-20,주택단지,운영,경기 고양시 일산서구 일산동,민간
517447,강선마을8단지LG롯데아파트 811동 놀이터,10361,"경기도 고양시 일산서구 강선로 70 (주엽동, 강선마을8단지아파트)",1993-11-26,주택단지,운영,경기 고양시 일산서구 주엽동,민간
517448,일산2차현대 202동옆,10353,"경기도 고양시 일산서구 고양대로 706-12 (일산동, 일산2차현대홈타운)",2002-04-29,주택단지,운영,경기 고양시 일산서구 일산동,민간
517449,문촌마을 5단지 508동 옆,10378,"경기도 고양시 일산서구 대산로 161 (주엽동, 문촌마을5단지아파트)",1994-05-09,주택단지,운영,경기 고양시 일산서구 주엽동,민간
517451,일산2차현대 208동옆,10353,"경기도 고양시 일산서구 고양대로 706-12 (일산동, 일산2차현대홈타운)",2002-04-29,주택단지,운영,경기 고양시 일산서구 일산동,민간
517456,태영아파트 201동 옆,10352,경기 고양시 일산서구 일산동일산동 954 태영아파트 관리사무소,2002-01-01,주택단지,운영,경기 고양시 일산서구 일산동,민간
518226,백송마을5단지 삼호풍림아파트 511동 옆 놀이터,10419,경기도 고양시 일산동구 강촌로 118 (백석동),1992-01-01,주택단지,운영,경기 고양시 일산동구 백석동,민간
518229,흰돌마을3단지 국제한진아파트 308동 옆 놀이터,10448,경기도 고양시 일산동구 백석로 24 (백석동),1994-01-01,주택단지,운영,경기 고양시 일산동구 백석동,민간
518232,흰돌마을3단지 국제한진아파트 303동 앞 놀이터,10448,경기도 고양시 일산동구 백석로 24 (백석동),1994-01-01,주택단지,운영,경기 고양시 일산동구 백석동,민간
518233,흰돌마을3단지 국제한진아파트 309동 앞 놀이터,10448,경기도 고양시 일산동구 백석로 24 (백석동),1994-01-01,주택단지,운영,경기 고양시 일산동구 백석동,민간
518255,강촌마을3단지 훼밀리아파트 309동 옆 놀이터,10415,경기도 고양시 일산동구 강송로 149 (마두동),1992-01-01,주택단지,운영,경기 고양시 일산동구 마두동,민간
518257,강촌마을3단지 훼밀리아파트 관리사무소 옆 놀이터,10415,경기도 고양시 일산동구 강송로 149 (마두동),1992-01-01,주택단지,운영,경기 고양시 일산동구 마두동,민간
518261,강촌마을5단지 라이프아파트 523동 옆 놀이터,10415,경기도 고양시 일산동구 강석로 108 (마두동),1993-03-03,주택단지,운영,경기 고양시 일산동구 마두동,민간
518264,강촌마을5단지 라이프아파트 508동 옆 놀이터,10415,경기도 고양시 일산동구 강석로 114 (마두동),1993-03-03,주택단지,운영,경기 고양시 일산동구 마두동,민간
518279,강촌마을8단지 우방아파트 815동 옆 놀이터,10415,경기도 고양시 일산동구 강송로 197 (마두동),1993-01-01,주택단지,운영,경기 고양시 일산동구 마두동,민간
518282,강촌마을8단지 우방아파트 809동 옆 놀이터,10415,경기도 고양시 일산동구 강송로 197 (마두동),1993-01-01,주택단지,운영,경기 고양시 일산동구 마두동,민간
518285,백마마을5단지 쌍용한성아파트 516동 옆 놀이터,10417,"경기도 고양시 일산동구 경의로 333 (마두동, 백마마을5단지아파트)",1994-11-14,주택단지,운영,경기 고양시 일산동구 마두동,민간
518287,정발마을3단지 건영아파트 303동옆 놀이터,10412,"경기도 고양시 일산동구 산두로 54 (마두동, 정발마을3단지건영빌라)",1996-01-01,주택단지,운영,경기 고양시 일산동구 마두동,민간
518291,정발마을3단지 건영아파트 308동 옆 놀이터,10412,"경기도 고양시 일산동구 산두로 54 (마두동, 정발마을3단지건영빌라)",1996-01-01,주택단지,운영,경기 고양시 일산동구 마두동,민간
518295,백송마을1단지 삼부아파트 놀이터,10419,경기도 고양시 일산동구 강촌로 144 (백석동),1993-01-01,주택단지,운영,경기 고양시 일산동구 백석동,민간
518306,흰돌마을1단지 금호아파트 놀이터,10421,"경기도 고양시 일산동구 중앙로 1124 (백석동, 흰돌마을1단지아파트)",1994-04-10,주택단지,운영,경기 고양시 일산동구 백석동,민간
518311,사리현동문아파트3단지 관리동 놀이터,10261,"경기도 고양시 일산동구 공릉천로 66 (사리현동, 동문아파트)",2013-04-10,주택단지,운영,경기 고양시 일산동구 사리현동,민간
