시군명,상호명,신고일자,소재지우편번호,소재지지번주소,소재지도로명주소
고양시,박용성행정사사무소,1999-06-22,[10466],경기도 고양시 덕양구 성사동 523-3 ,경기도 고양시 덕양구 호국로 846-6 (성사동)
고양시,천사행정사사무소,2012-12-11,[10507],경기도 고양시 덕양구 토당동 251-63 ,경기도 고양시 덕양구 토당로 148 (토당동)
고양시,한빛행정사,2012-11-08,[10477],경기도 고양시 덕양구 화정동 909-3 화정꽃무리조합프라자 ,경기도 고양시 덕양구 은빛로 45 (화정동)
고양시,이우상행정사,2012-08-01,[10495],경기도 고양시 덕양구 행신동 952 세신훼미리타운 ,경기도 고양시 덕양구 중앙로 542 (행신동)
고양시,정종근행정사,2012-05-02,[10296],경기도 고양시 덕양구 주교동 16-4 산장아파트 ,경기도 고양시 덕양구 원당로141번길 58 (주교동)
고양시,붕륭행정사무소,2011-09-15,[10497],경기도 고양시 덕양구 화정동 967 송화빌딩 ,경기도 고양시 덕양구 화중로104번길 24 (화정동)
고양시,야후 행정사사무소,2019-10-24,[10424],,"경기도 고양시 일산동구 호수로446번길 74-1, 1층 (백석동)"
고양시,경기행정사사무소,2019-05-24,[10449],,"경기도 고양시 일산동구 일산로 30, 효성레제스오피스텔 114호 (백석동)"
고양시,LSH 행정사 사무소,2019-07-30,[10449],,"경기도 고양시 일산동구 장백로 20, 동문굿모닝힐 102동 726호 (백석동)"
고양시,한결행정사사무소,2015-05-14,[10364],,"경기도 고양시 일산동구 무궁화로 43-15, 한강세이프빌 301-9호 (장항동)"
고양시,세림 행정사,2018-10-10,[10407],,"경기도 고양시 일산동구 일산로330번길 8, 1층 (마두동)"
고양시,김성옥 인권행정사사무소,2017-03-13,[10414],,"경기도 고양시 일산동구 중앙로 1193, 마두법조빌딩 6층 603호 (장항동)"
고양시,가온 행정사 사무소,2018-09-13,[10414],,"경기도 고양시 일산동구 중앙로 1192, 월드프라자 601 (마두동)"
고양시,국가공인GA번역행정사사무소,2018-05-31,[10313],,경기도 고양시 일산동구 진밭로70번길 271-9 (문봉동)
고양시,차용지행정사사무소,2001-03-02,[10304],,경기도 고양시 일산동구 백마로 539 (풍동)
고양시,대신사 행정사,2018-07-30,[10307],,"경기도 고양시 일산동구 숲속마을1로 55, 201동 202호 (풍동, 숲속마을2단지아파트)"
고양시,LK행정사사무소,2018-06-26,[10325],,"경기도 고양시 일산동구 위시티4로 79, 310동 402호 (식사동, 위시티블루밍3단지아파트)"
고양시,문진웅 행정사사무소,2018-05-03,[10447],,"경기도 고양시 일산동구 중앙로 1080, 남정골드프라자 7층 뉴워크 비즈니스센터 04호 (백석동)"
고양시,선행정사사무소,2018-04-26,[10414],,"경기도 고양시 일산동구 중앙로 1197, 형지빌딩 901호 (장항동)"
고양시,노을권사무소,1996-08-22,[10415],,"경기도 고양시 일산동구 강석로 156, 상가동 104호 (마두동, 강촌마을7단지)"
고양시,디딤돌 행정사 사무소,2017-03-10,[10414],,"경기도 고양시 일산동구 중앙로 1193, 606호 (장항동, 마두법조빌딩)"
고양시,공인씨엠번역행정사 사무소,2016-03-08,[10414],,"경기도 고양시 일산동구 중앙로 1193, 6층 650호 (장항동, 마두법조빌딩)"
고양시,백합 행정사 사무소,2008-02-29,[10364],,경기도 고양시 일산동구 무궁화로 7-63 (장항동)
고양시,박헌교행정사사무소,1998-11-24,,경기도 고양시 일산동구 장항동 891번지 2호 성암빌딩 103호,
고양시,행정사 조재경사무소,2012-12-28,,경기도 고양시 일산동구 장항동 752번지 1호 호수그린오피스텔 711호,
고양시,정진영행정사사무소,2012-10-17,[10304],,경기도 고양시 일산동구 고양대로 1030 (식사동)
고양시,오복사 행정사 사무소,2006-12-01,[10304],,경기도 고양시 일산동구 은행마을로6번길 86-1 (식사동)
