"","면적당가격","전용면적...","층","노후정도","총인구밀도","성비","고령화정도","건물위생관리업","목욕장업","미용업","세탁업","숙박업","이용업","대부업","단란주점","유흥주점","지식산업센터","총센터면적","총유치업체수","연립주택동수","연립주택가구수","공연장","대규모점포","도서관","도서관총자료","도시공원","도시공원총면적","의료기관","의료유사업소","자동차대여업","전통시장여부","영화상영관수","여행업","어린이보호구역","약국","문화유통업","전기차충전기"
"6395",361.067503924647,146.51,18,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"6396",508.527293132871,84.5579,25,17,2218.68318163487,1.07214426236164,0.25747388548329,13,4,83,18,10,15,1,7,6,0,0,0,120,5739,1,0,0,0,7,182811,28,1,0,"Y",0,3,6,17,68,1
"6397",366.788929643214,59.98,1,23,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"6398",331.126998398571,84.8617,21,15,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
"6399",365.205331689653,129.79,9,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"6400",381.269191402252,117.24,4,9,7350.54598788901,0.966140974657773,0.242692360558859,12,4,90,16,5,13,5,16,6,0,0,0,129,8783,3,0,1,121421,8,697214,50,0,0,"Y",0,6,4,13,51,3
"6401",252.4893314367,84.36,2,22,1235.90255591054,1.0132058287796,0.243093030019065,3,3,55,11,9,8,0,3,4,0,0,0,119,8999,0,0,3,55856,7,43802,29,0,0,"N",0,2,5,11,28,0
"6402",391.852143347851,59.9716,17,17,6970.72310405644,0.936596599539419,0.179865398239045,5,1,61,13,0,2,0,0,0,0,0,0,145,10883,0,0,1,94425,11,115102,35,0,2,"N",0,3,7,9,18,0
"6403",221.755368814192,42.84,4,36,2425.44850498339,1.03552110634027,0.272772100923212,4,2,49,10,6,10,1,6,0,0,0,0,42,2738,0,0,1,26835,0,0,18,0,0,"N",0,0,5,9,22,0
"6404",447.427293064877,84.93,6,25,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"6405",406.772207563764,45.48,4,24,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"6406",438.153016514998,59.34,11,24,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
